"","rn","meanImp","medianImp","minImp","maxImp","normHits","decision"
"221","`V1_Team Ninja`",-1.4192386998096,-1.56550339024221,-2.32099000814812,-0.125099677059896,0,"Rejected"
"222","`V1_Team17 Software.1`",0.719749727999866,0.697800346455971,-1.28579336446172,2.01211368220305,0,"Rejected"
"223","V1_Tecmo.1",-1.85300604726017,-2.02038477149506,-2.48534293675079,-0.156776221005974,0,"Rejected"
"224","`V1_The Sims Studio`",-1.6859253888577,-1.67108030791128,-3.13299109400637,0.90018283350298,0,"Rejected"
"225","`V1_Torus Games`",-1.47372488123597,-1.54668123961641,-2.87260023950165,0.426028482087307,0,"Rejected"
"226","`V1_Traveller's Tales`",-0.547897970033988,-0.349825904633451,-2.2556195693635,0.525286110566208,0,"Rejected"
"227","V1_Treasure",1.02620597016049,1.26914849644642,-1.72882106498654,2.61072152671497,0,"Rejected"
"228","V1_Treyarch",1.17542169363422,1.24417397816519,-1.9613918711068,2.8957080666227,0,"Rejected"
"229","`V1_Tri-Ace`",0.186879371930223,0.12875501751251,-1.29417428270535,1.90450960453846,0,"Rejected"
"230","`V1_TT Games`",0.131699626240961,0.633873086780763,-1.47476500131892,1.57078247381821,0,"Rejected"
"231","V1_Ubisoft.1",-1.30955640698264,-1.17627863858712,-2.27862961622746,-0.106564723014124,0,"Rejected"
"232","`V1_Ubisoft Montreal`",-0.554539323897139,-0.828405388063589,-1.97488474491718,1.08905504108673,0,"Rejected"
"233","`V1_Ubisoft Paris`",-1.07148576941902,-1.50018833353991,-2.36910523977644,1.24592535429873,0,"Rejected"
"234","V1_Unknown",-1.40642852233507,-1.44255435399461,-3.14288660754107,-0.414249797023772,0,"Rejected"
"235","V1_Valve",2.0878898099081,2.3026671083973,0.656766823164695,2.90180715067777,0,"Rejected"
"236","`V1_Vicarious Visions`",-0.118578629050084,0.0639490627935808,-2.17373104327127,1.84608351433484,0,"Rejected"
"237","`V1_Visual Concepts`",3.83456726450525,3.80935846973266,2.72419048979455,5.47818004416797,0.696969696969697,"Confirmed"
"238","V1_Volition",1.32723116681238,1.86649897031763,-1.70994706629126,2.61937877513861,0,"Rejected"
"239","`V1_WayForward Technologies`",-0.0566789622156423,-0.0974749983932327,-1.55654688138939,1.2722531092517,0,"Rejected"
"240","`V1_Westwood Studios`",-2.12450007565241,-2.22317579199417,-3.40847585309354,-0.458966043616904,0,"Rejected"
"241","`V1_Yuke's Media Creations`",0.0199356134839655,0.533671829732246,-2.19493995700803,2.39770754948323,0,"Rejected"
