"","game_name","developer","publisher","Month","Year","age_rating","game_rating","Dreamcast","Wireless","Saturn","Android","iPad","iPhone","Arcade","GameCube","Genesis","Macintosh","PC","Nintendo","GameBoy","NES","PlayStation","Xbox","Wii","otherPlatform","Flight","Music","Simulation","Fighting","Platformer","Puzzle","Strategy","Adventure","RPG","Racing","Shooter","Sports","Action","otherGenre","anger","anticipation","disgust","fear","joy","sadness","surprise","trust","negative","positive"
"104","Afterfall: Insanity","other","other","N",NA,NA,4.5,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,13,9,4,13,9,8,5,10,19,23
"105","Agatha Christie: And Then There Were None","other","other","October","2005"," T",7,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,3,3,2,4,1,3,1,9,6,14
"107","Agatha Christie: Evil Under the Sun","other","other","October","2007"," T",6,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,1,1,0,1,1,2,2,4
"108","Age of Booty","other","Capcom","October","2008"," E",7.8,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,5,6,4,6,2,3,1,2,11,6
"109","Age of Conan: Hyborian Adventures","other","other","May","2008"," M",7.8,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,7,9,3,11,8,6,5,5,12,17
"110","Age of Conan: Rise of the Godslayer","other","other","May","2010"," M",7.9,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,16,13,9,19,10,12,7,14,18,22
"111","Age of Empires","other","Microsoft","October","1997"," T",7,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,9,0,2,10,2,4,14,3,31
"112","Age of Empires II: The Age of Kings","other","Microsoft","October","1999"," T",8.8,1,1,0,0,0,0,0,0,0,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,6,16,4,7,15,6,6,18,15,40
"113","Age of Empires II: The Conquerors","other","Microsoft","August","2000"," T",8.2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,6,8,0,6,3,1,4,13,7,24
"114","Age of Empires III: The Asian Dynasties","other","Microsoft","October","2007"," T",8,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,3,0,1,1,1,0,8,4,9
"115","Age of Empires III: The WarChiefs","other","Microsoft","October","2006"," T",8.2,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,14,20,3,20,11,9,11,24,30,40
"116","Age of Empires Online","other","Microsoft","August","2011"," E10+",7,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,6,15,3,10,15,2,3,29,9,53
"117","Age of Empires: Mythologies","other","THQ","November","2008"," E10+",8.6,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,6,4,2,5,5,2,2,6,8,11
"118","Age of Mythology","other","Microsoft","October","2002"," T",9.3,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,11,16,6,20,14,11,11,28,21,49
