"","rn","meanImp","medianImp","minImp","maxImp","normHits","decision"
"47","V1_January",3.33735076436288,3.34554768342842,-0.349222511198309,5.97062747029108,0.545454545454545,"Confirmed"
"48","V1_July",-0.228587482199514,-0.353288056628515,-1.51158505781612,1.43388484101786,0,"Rejected"
"49","V1_June",0.0147319777175312,0.182017107439566,-1.8696715394326,1.52594258839037,0,"Rejected"
"50","V1_March",0.308861932832966,0.48397059858796,-1.47723429012111,1.98307262039848,0,"Rejected"
"51","V1_May",0.340559182792853,-0.00500044091834899,-1.123580043346,2.6340563934224,0,"Rejected"
"52","V1_November",0.66071764175961,0.76288255132523,-1.17082961263971,2.36573806505898,0,"Rejected"
"53","V1_October",-0.560731005575659,-0.553936368543879,-2.07639265945096,1.60965946596827,0,"Rejected"
"54","V1_September",2.02064054964197,2.03420454555813,1.38430427513274,2.95690262081305,0,"Rejected"
"55","`V1_ E`",9.80177846173013,9.88625842652444,7.73568846458055,12.1821489971143,1,"Confirmed"
"56","`V1_ E10+`",1.1447218875359,0.950196404844173,-0.000219953671468588,2.75420389616808,0,"Rejected"
"57","`V1_ M`",6.4587952082636,6.37404296296965,4.36650000658898,8.27225405029755,0.97979797979798,"Confirmed"
"58","`V1_ RP`",0.471812306987125,0.570369844520647,-1.5819882921269,1.74530429392498,0,"Rejected"
"59","`V1_ RP-M+`",0.569044963206365,0.731385570890339,-1.01487853286571,1.68168344917425,0,"Rejected"
"60","`V1_ RP-T+`",-0.124062844566548,-0.204013611309096,-1.83778957553065,1.97752001713383,0,"Rejected"
"61","`V1_ T`",4.15544760093877,4.14343233652307,2.21636667931079,6.69949006760505,0.747474747474748,"Confirmed"
"62","V1_E",2.45656549786282,2.58118579497218,0.259998219929902,4.16960463918942,0.101010101010101,"Rejected"
"63","`V1_2K Games`",0.322754089952355,0.396038222357215,-0.538215862300368,1.46713849368859,0,"Rejected"
"64","V1_3DO",4.29098412951755,4.33655386775138,1.85788138748591,6.80350501607541,0.727272727272727,"Confirmed"
"65","`V1_Acclaim Entertainment`",5.92377061377111,5.91370930314806,3.26198640882142,8.13354585325328,0.939393939393939,"Confirmed"
"66","V1_Activision",0.717285341845551,0.743022593649207,-0.387385333245947,2.79860923294658,0,"Rejected"
"67","V1_Agetec",0.2810747286941,0.425295486564454,-1.43897416923403,1.55675522206022,0,"Rejected"
"68","`V1_Aksys Games`",1.87334136029857,2.11723653384367,-0.831081403260223,3.73118280198303,0,"Rejected"
"69","V1_Atari",0.927997414361987,0.840745232028547,-0.449542746916107,2.02482131668429,0,"Rejected"
